id,state_po,county,democrat,republican,dempct
850,IN,Warren,839.0,2898.0,0.22451164035322452
851,IN,Wayne,8322.0,16028.0,0.3417659137577002
852,IN,Cass,3759.0,9701.0,0.27927191679049035
853,IN,Clinton,2819.0,8531.0,0.24837004405286345
854,IN,Delaware,18153.0,24263.0,0.42797529234251225
855,IN,Harrison,4783.0,12943.0,0.26982962879386213
856,IN,Brown,2518.0,5016.0,0.3342182107778073
857,IN,Knox,3772.0,11077.0,0.25402383998922484
858,IN,Wabash,3018.0,9821.0,0.23506503621777397
859,IN,Allen,55382.0,83930.0,0.397539336166303
860,IN,Bartholomew,9841.0,20640.0,0.3228568616515206
861,IN,Blackford,1243.0,3350.0,0.27062921837578924
862,IN,Daviess,1800.0,8545.0,0.17399710004833252
863,IN,Dearborn,4883.0,18113.0,0.21234127674378153
864,IN,Dubois,5389.0,13365.0,0.2873520315665991
865,IN,Elkhart,20740.0,41867.0,0.3312728608622039
866,IN,Fountain,1476.0,5662.0,0.20678061081535445
867,IN,Gibson,3721.0,11081.0,0.2513849479800027
868,IN,Hendricks,22600.0,48337.0,0.31859255395632746
869,IN,Huntington,3506.0,11649.0,0.23134279115803366
870,IN,Jay,1889.0,5697.0,0.24901133667281836
871,IN,Jennings,2364.0,8224.0,0.22327162825840574
872,IN,Kosciusko,6313.0,23935.0,0.2087080137529754
873,IN,LaGrange,2080.0,7025.0,0.22844590884129598
874,IN,LaPorte,19798.0,22687.0,0.46599976462280807
875,IN,Miami,2766.0,9975.0,0.21709441959029904
876,IN,Noble,3904.0,12198.0,0.24245435349646008
877,IN,Ohio,686.0,2118.0,0.24465049928673324
878,IN,Owen,1946.0,6153.0,0.24027657735522903
879,IN,Parke,1441.0,4863.0,0.22858502538071065
880,IN,Porter,33676.0,38832.0,0.4644453025873007
881,IN,Posey,3521.0,8404.0,0.2952620545073375
882,IN,Ripley,2471.0,9806.0,0.2012706687301458
883,IN,Rush,1525.0,5292.0,0.22370544227666128
884,IN,Spencer,2861.0,6572.0,0.3032969362875013
885,IN,St. Joseph,52252.0,52021.0,0.5011076692911876
886,IN,Starke,2489.0,6367.0,0.28105239385727193
887,IN,Steuben,3744.0,10133.0,0.2697989478994019
888,IN,Sullivan,2113.0,6138.0,0.25609017088837716
889,IN,Switzerland,930.0,2558.0,0.2666284403669725
890,IN,Tippecanoe,27282.0,30768.0,0.46997416020671834
891,IN,Tipton,1587.0,5589.0,0.22115384615384615
892,IN,Vanderburgh,28530.0,40496.0,0.41332251615333354
893,IN,Vermillion,2081.0,4513.0,0.3155899302396118
894,IN,Vigo,15931.0,21937.0,0.42069821485158976
895,IN,Warrick,9086.0,19113.0,0.32221000744707257
896,IN,Wells,2586.0,10005.0,0.2053847986657136
897,IN,Whitley,3379.0,11358.0,0.22928682906968853
898,KS,Butler,6573.0,19073.0,0.25629727832800436
899,KS,Cherokee,2005.0,6182.0,0.2449004519359961
900,KS,Clay,677.0,2891.0,0.18974215246636772
901,KS,Franklin,2892.0,7185.0,0.28699017564751417
902,KS,Jackson,1512.0,3939.0,0.2773802971931756
903,KS,Jefferson,2518.0,5213.0,0.32570172034665634
904,KS,Marion,1204.0,4003.0,0.2312271941617054
905,KS,Marshall,1072.0,3307.0,0.24480474994290935
906,KS,Montgomery,2637.0,8679.0,0.23303287380699894
